Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP002763,Male,Unknown,2,Graduate,No,5580.0,5310.0,499.0,120.0,1.0,Rural,Y
LP002638,Female,Yes,0,Not Graduate,No,3837.0,8306.0,693.0,360.0,1.0,Suburban,Y
LP002641,Male,No,4,Not Graduate,No,3302.0,1230.0,494.0,360.0,1.0,Semiurban,Y
LP002770,Male,No,0,Not Graduate,Yes,7820.0,3046.0,405.0,180.0,2.0,Rural,Y
LP002903,Male,No,3+,Not Graduate,No,4060.0,6289.0,273.0,360.0,1.0,Urban,Pending
LP002776,Male,Yes,0,Graduate,Maybe,4163.0,3029.0,270.0,360.0,1.0,Urban,Y
LP002528,Male,No,1,Not Graduate,Yes,10204.0,9151.0,581.0,360.0,1.0,Suburban,N
LP002914,Male,Unknown,1,Not Graduate,No,12018.0,1400.0,223.0,360.0,0.0,Rural,Y
LP002659,Female,No,0,Not Graduate,No,10023.0,4204.0,408.0,360.0,1.0,Suburban,N
LP002533,Male,Yes,1,Not Graduate,No,3476.0,4172.0,512.0,360.0,1.0,Rural,Pending
LP002662,Male,No,2,Graduate,No,5011.0,3828.0,567.0,360.0,2.0,Semiurban,N
LP002928,Female,No,4,Not Graduate,No,16332.0,8056.0,651.0,360.0,1.0,Semiurban,Y
LP002930,Female,Yes,1,Not Graduate,No,10972.0,8928.0,277.0,360.0,2.0,Urban,N
LP002809,Female,No,2,Not Graduate,No,13883.0,8156.0,104.0,360.0,2.0,Semiurban,Y
LP002810,Male,Unknown,0,Not Graduate,No,3526.0,4778.0,488.0,240.0,1.0,Urban,Y
LP002560,Female,No,2,Graduate,No,11088.0,6023.0,496.0,360.0,2.0,Urban,N
LP002562,Male,No,2,Not Graduate,Maybe,8203.0,3734.0,460.0,360.0,1.0,Semiurban,Y
LP002821,Male,Unknown,1,Graduate,No,16361.0,8597.0,206.0,360.0,1.0,Semiurban,Y
LP002823,Male,No,4,Not Graduate,No,17988.0,1750.0,428.0,360.0,1.0,Urban,Y
LP002952,Female,No,1,Graduate,No,7396.0,2760.0,421.0,360.0,0.0,Suburban,Y
LP002570,Male,No,0,Graduate,No,6606.0,2307.0,364.0,120.0,0.0,Suburban,N
LP002571,Female,No,3+,Graduate,Maybe,15620.0,6460.0,653.0,360.0,1.0,Rural,Y
LP002699,Female,Yes,3+,Graduate,No,10324.0,7792.0,359.0,360.0,1.0,Urban,Pending
LP002700,Female,Yes,4,Graduate,Yes,9978.0,3148.0,294.0,360.0,0.0,Semiurban,N
LP002580,Male,No,1,Graduate,No,13751.0,413.0,442.0,360.0,0.0,Suburban,N
LP002710,Female,Unknown,0,Graduate,No,19383.0,8699.0,464.0,360.0,1.0,Semiurban,N
LP002839,Male,Yes,0,Graduate,No,13425.0,6938.0,60.0,360.0,2.0,Rural,Y
LP002969,Female,Unknown,0,Graduate,No,16130.0,715.0,554.0,240.0,1.0,Rural,N
LP002586,Male,Yes,0,Not Graduate,No,9254.0,3424.0,554.0,360.0,1.0,Suburban,N
LP002850,Female,Yes,4,Not Graduate,No,19126.0,4879.0,357.0,360.0,1.0,Rural,Y
LP002979,Female,No,2,Graduate,No,4394.0,7165.0,195.0,360.0,1.0,Suburban,Y
LP002597,Female,Yes,2,Graduate,No,16145.0,2924.0,658.0,360.0,2.0,Rural,N
LP002984,Female,Yes,0,Not Graduate,No,8124.0,515.0,132.0,360.0,2.0,Rural,Y
LP002604,Male,No,4,Graduate,Yes,8812.0,8279.0,,360.0,1.0,Semiurban,Y
LP002734,Female,Unknown,1,Not Graduate,No,,3437.0,172.0,360.0,1.0,Rural,Y
LP002606,Male,No,2,Graduate,Maybe,17348.0,911.0,351.0,360.0,1.0,Urban,Y
LP002990,Male,No,0,Graduate,Maybe,18381.0,2184.0,416.0,360.0,1.0,Urban,Y
LP002863,Female,Yes,0,Not Graduate,No,7365.0,8966.0,352.0,360.0,1.0,Suburban,N
LP002611,Male,Yes,1,Graduate,No,8127.0,,257.0,360.0,1.0,Suburban,Y
LP002875,Male,Yes,1,Graduate,Yes,13282.0,7717.0,100.0,360.0,1.0,Rural,Pending
LP002879,Male,Yes,,Graduate,Maybe,13584.0,4256.0,425.0,240.0,1.0,Semiurban,N
LP002625,Female,Yes,0,Graduate,,6867.0,,693.0,360.0,1.0,Suburban,N
