Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP002129,Male,Yes,4,Not Graduate,No,18332.0,5540.0,432.0,360.0,1.0,Semiurban,N
LP002392,Male,No,0,Graduate,Yes,11844.0,6035.0,537.0,360.0,1.0,Urban,Pending
LP002400,Male,No,0,Not Graduate,No,9648.0,1237.0,192.0,360.0,1.0,Semiurban,Pending
LP002406,Male,Yes,4,Graduate,No,13053.0,9704.0,320.0,360.0,0.0,Rural,Y
LP002035,Male,No,1,Graduate,No,16073.0,2153.0,673.0,360.0,1.0,Suburban,Y
LP002303,Male,Unknown,1,Graduate,No,15047.0,5509.0,460.0,360.0,1.0,Rural,Y
LP002432,,No,0,Not Graduate,Maybe,3143.0,2517.0,498.0,360.0,1.0,Urban,Y
LP002049,Male,Yes,0,Not Graduate,No,19335.0,3179.0,357.0,360.0,2.0,Semiurban,Y
LP002310,Female,No,0,Graduate,No,14999.0,3049.0,460.0,360.0,2.0,Urban,Y
LP002188,Female,No,3+,Not Graduate,No,8447.0,9044.0,225.0,360.0,1.0,Semiurban,Pending
LP002061,Female,No,0,Graduate,No,1699.0,1061.0,236.0,360.0,1.0,Urban,Pending
LP002446,Male,No,0,Graduate,No,5039.0,9083.0,404.0,360.0,1.0,Suburban,Y
LP002191,Female,Unknown,0,Not Graduate,No,1834.0,9444.0,442.0,360.0,1.0,Urban,Y
LP002444,Male,Yes,3+,Not Graduate,No,8922.0,8171.0,131.0,360.0,1.0,Urban,Pending
LP002449,Male,Yes,2,Graduate,Yes,16416.0,4515.0,584.0,360.0,0.0,Suburban,Y
LP002069,Male,Yes,0,Not Graduate,No,13996.0,4504.0,398.0,360.0,2.0,Urban,Y
LP002456,Male,Yes,0,Not Graduate,No,17086.0,4195.0,93.0,360.0,1.0,Suburban,Y
LP002468,Male,No,0,Graduate,No,11976.0,1067.0,531.0,360.0,1.0,Semiurban,Pending
LP002214,Female,No,2,Not Graduate,Maybe,12350.0,8397.0,66.0,240.0,1.0,Rural,Y
LP002087,Female,No,3+,Not Graduate,Yes,16818.0,1309.0,512.0,360.0,2.0,Rural,Y
LP002473,Female,Unknown,1,Not Graduate,,7679.0,5588.0,464.0,360.0,1.0,Semiurban,N
LP002345,Female,Unknown,0,Not Graduate,No,13431.0,97.0,76.0,360.0,1.0,Semiurban,Y
LP002236,Female,No,4,Graduate,No,5142.0,3294.0,129.0,360.0,1.0,Urban,Y
LP002112,Male,Yes,0,Not Graduate,No,12078.0,1862.0,323.0,360.0,1.0,Suburban,N
LP002499,Male,Unknown,4,Graduate,No,11887.0,8302.0,363.0,360.0,1.0,Semiurban,N
LP002374,Female,No,2,Not Graduate,No,9554.0,8406.0,93.0,360.0,1.0,Suburban,Y
LP002250,Male,No,3+,Graduate,No,2960.0,3874.0,152.0,360.0,1.0,Urban,Pending
LP002252,Female,No,1,Not Graduate,Maybe,2708.0,6915.0,582.0,360.0,0.0,Semiurban,Y
LP002125,Female,Unknown,0,Not Graduate,No,1673.0,1321.0,514.0,360.0,1.0,Urban,N
